Survived,Age,SibSp,Parch,Fare,FamilySize,Family,Child,Female,Male,Class_1,Class_2,Class_3,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Misc,Title_Miss,Title_Mr,Title_Mrs
0,22.0,1,0,7,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,38.0,1,0,71,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,26.0,0,0,7,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,35.0,1,0,53,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,35.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,28.0,0,0,8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
0,54.0,0,0,51,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,2.0,3,1,21,5,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,27.0,0,2,11,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,14.0,1,0,30,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,4.0,1,1,16,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,58.0,0,0,26,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,20.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,39.0,1,5,31,7,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,14.0,0,0,7,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,55.0,0,0,16,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,2.0,4,1,29,6,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
1,28.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,31.0,1,0,18,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,28.0,0,0,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
0,35.0,0,0,26,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,34.0,0,0,13,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,15.0,0,0,8,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,28.0,0,0,35,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0,8.0,3,1,21,5,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,38.0,1,5,31,7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,28.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,19.0,3,2,263,6,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,28.0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,40.0,0,0,27,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,28.0,1,0,146,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,28.0,0,0,7,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,66.0,0,0,10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,28.0,1,0,82,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,42.0,1,0,52,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1,28.0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,21.0,0,0,8,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,18.0,2,0,18,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,14.0,1,0,11,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,40.0,1,0,9,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
